
"Title","Authors","Number of Authors","Scopus Author Ids","Year","Scopus Source title","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Reference","Abstract","DOI","Publication type","EID","Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Country/Region","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Topic Cluster name","Topic Cluster number","Topic name","Topic number","Topic Cluster Prominence Percentile","Topic Prominence Percentile"
"Constructing and calculating of multistage sucker rod string according to reduced stress","Baranov, M.N.| Božek, P.| Prajová, V.| Ivanova, T.N.| Novokshonov, D.N.| Korshunov, A.I.","6","57195917921| 54394952900| 56273027800| 57190963515| 57191342855| 56360754600","2017","Acta Montanistica Slovaca","4.23","81","23","2.71","8","8","Baranov, M.N., Božek, P., Prajová, V. and 3 more (...) (2017).Constructing and calculating of multistage sucker rod string according to reduced stress. Acta Montanistica Slovaca,22(2) 107-115","https://www.scopus.com/record/display.url?eid=2-s2.0-85030103260&origin=resultslist","-","Article","2-s2.0-85030103260","Slovak University of Technology| RAS - Institute of Mechanics, Ural Branch| Udmurt State University | Kalashnikov Izhevsk State Technical University| Perm National Research Polytechnic University| RAS - Ural Branch","60011974| 60006861| 60006861| 60023325| 60072266| 60110466| 60024987","Udmurt State University| Slovak University of Technology in Bratislava| Slovak University of Technology in Bratislava| Perm National Research Polytechnic University| Ural Branch, Russian Academy of Sciences| Institute of Mechanics UB RAS| Kalashnikov Izhevsk State Technical University","Russian Federation| Slovakia","1906| 1907| 1909","Geochemistry and Petrology| Geology| Geotechnical Engineering and Engineering Geology","Industry,Belts,Conveyors","994","Coal Gasification,Diamond Drilling,Web Services","42641","41.031","38.873"
"Van't Hoff analysis in chiral chromatography","Asnin, L.D.| Stepanova, M.V.","2","6602774626| 57200415877","2018","Journal of Separation Science","0.45","31","22","0.95","5","31","Asnin, L.D., Stepanova, M.V. (2018).Van't Hoff analysis in chiral chromatography. Journal of Separation Science,41(6) 1319-1337","https://www.scopus.com/record/display.url?eid=2-s2.0-85041210090&origin=resultslist","10.1002/jssc.201701264","Review","2-s2.0-85041210090","Perm National Research Polytechnic University","60023325","Perm National Research Polytechnic University","Russian Federation","1506| 1602","Filtration and Separation| Analytical Chemistry","Chromatography,Liquid Chromatography,Column Chromatography","376","Stationary Phase,Amylose,Aminopropyl Silica Gel","4221","69.946","94.95"
"Minimization of the Systematic Error in Centerless Measurement of the Roundness of Parts","Zakharov, O.V.| Kochetkov, A.V.","2","24469524600| 56252046200","2016","Measurement Techniques","1.64","32","22","2.58","11","9","Zakharov, O.V., Kochetkov, A.V. (2016).Minimization of the Systematic Error in Centerless Measurement of the Roundness of Parts. Measurement Techniques,58(12) 1317-1321","https://www.scopus.com/record/display.url?eid=2-s2.0-84962185200&origin=resultslist","10.1007/s11018-016-0892-6","Article","2-s2.0-84962185200","Saratov State Technical University| Perm National Research Polytechnic University","60013984| 60023325","Yuri Gagarin State Technical University of Saratov| Perm National Research Polytechnic University","Russian Federation","2604| 3105","Applied Mathematics| Instrumentation","Genes,Gene Regulatory Networks,Gene Expression","362","RNA Interference,Virus Internalization,Small Interfering RNA","28927","91.098","86.175"
"Hindered Energy Cascade in Highly Helical Isotropic Turbulence","Stepanov, R.| Golbraikh, E.| Frick, P.| Shestakov, A.","4","7005472384| 6701916823| 7102834014| 7101891042","2015","Physical Review Letters","1.73","32","22","1.46","14","20","Stepanov, R., Golbraikh, E., Frick, P. and 1 more (...) (2015).Hindered Energy Cascade in Highly Helical Isotropic Turbulence. Physical Review Letters,115(23) ","https://www.scopus.com/record/display.url?eid=2-s2.0-84949676895&origin=resultslist","10.1103/PhysRevLett.115.234501","Article","2-s2.0-84949676895","Ben-Gurion University of the Negev| Perm National Research Polytechnic University| RAS - Institute of Continuous Media Mechanics, Ural Branch","60026928| 60023325| 60027161","Institute of Continuous Media Mechanics of the Ural Branch of Russian Academy of Science| Perm National Research Polytechnic University| Ben-Gurion University of the Negev","Israel| Russian Federation","3100","General Physics and Astronomy","Reynolds Number,Boundary Layers,Large Eddy Simulation","34","Helicity,Rossby Number,Homogeneous Turbulence","20539","91.165","80.172"
"Motion decomposition, frame-indifferent derivatives, and constitutive relations at large displacement gradients from the viewpoint of multilevel modeling","Trusov, P.V.| Shveykin, A.I.| Yanz, A.Y.","3","6602816811| 24765279800| 56180937800","2017","Physical Mesomechanics","1.13","31","22","1.83","9","15","Trusov, P.V., Shveykin, A.I., Yanz, A.Y. (2017).Motion decomposition, frame-indifferent derivatives, and constitutive relations at large displacement gradients from the viewpoint of multilevel modeling. Physical Mesomechanics,20(4) 357-376","https://www.scopus.com/record/display.url?eid=2-s2.0-85037747795&origin=resultslist","10.1134/S1029959917040014","Article","2-s2.0-85037747795","Perm National Research Polytechnic University","60023325","Perm National Research Polytechnic University","Russian Federation","2211| 2500| 3104| 3110","Mechanics of Materials| General Materials Science| Condensed Matter Physics| Surfaces and Interfaces","Rubber,Elastomers,Butadiene","634","Elastoplasticity,Finite Strain,Polar Decomposition","7267","54.552","84.701"
"N-acetylcysteine inhibits growth, adhesion and biofilm formation of Gram-positive skin pathogens","Eroshenko, D.| Polyudova, T.| Korobov, V.","3","8891996700| 8415988600| 7102381185","2017","Microbial Pathogenesis","2.87","55","22","2.08","9","12","Eroshenko, D., Polyudova, T., Korobov, V. (2017).N-acetylcysteine inhibits growth, adhesion and biofilm formation of Gram-positive skin pathogens. Microbial Pathogenesis,105145-152","https://www.scopus.com/record/display.url?eid=2-s2.0-85013863448&origin=resultslist","10.1016/j.micpath.2017.02.030","Article","2-s2.0-85013863448","Perm State National Research University| RAS - Institute of Ecology and Genetics of Microorganisms, Ural Branch| Perm National Research Polytechnic University| RAS - Ural Branch","60109740| 60072266| 60023914| 60023325","Institute of Ecology and Genetics of Microorganisms, Ural Branch of the Russian Academy of Sciences| Ural Branch, Russian Academy of Sciences| Perm State University| Perm National Research Polytechnic University","Russian Federation","2404| 2725","Microbiology| Infectious Diseases","Leprosy,Mycobacterium Leprae,Lepromatous Leprosy","1242","Glutathione,Pulmonary Tuberculosis,Interleukin-12","82541","15.93","47.385"
"Digital economy: Data analysis on the context advertising market in the UK and the US","Plotnikov, A.V.| Kuznetsov, P.A.| Urasova, A.A.| Akhmetshin, E.M.","4","55769437700| 57197816163| 57194617112| 56027651200","2018","International Journal of Civil Engineering and Technology","2.55","56","20","2.72","6","9","Plotnikov, A.V., Kuznetsov, P.A., Urasova, A.A. and 1 more (...) (2018).Digital economy: Data analysis on the context advertising market in the UK and the US. International Journal of Civil Engineering and Technology,9(11) 2372-2382","https://www.scopus.com/record/display.url?eid=2-s2.0-85058025309&origin=resultslist","-","Article","2-s2.0-85058025309","Kazan Volga Region Federal University| Perm State National Research University| Perm National Research Polytechnic University","60023325| 60023914| 60070941","Perm National Research Polytechnic University| Perm State University| Kazan Federal University","Russian Federation","1705| 2205| 2207| 2215","Computer Networks and Communications| Civil and Structural Engineering| Control and Systems Engineering| Building and Construction","Agents,Game Theory,Models","173","Secretary Problem,Prophet Inequality,Bipartite Matching","13198","83.133","84.176"
"Optimization in design of scientific products for purposes of cavitation problems","Modorskii, V.Y.| Gaynutdinova, D.F.| Gergel, V.P.| Barkalov, K.A.","4","24332284200| 57188739313| 6603540044| 36661889400","2016","AIP Conference Proceedings","3.5","48","19","6.11","14","2","Modorskii, V.Y., Gaynutdinova, D.F., Gergel, V.P. and 1 more (...) (2016).Optimization in design of scientific products for purposes of cavitation problems. AIP Conference Proceedings,1738","https://www.scopus.com/record/display.url?eid=2-s2.0-84984549606&origin=resultslist","10.1063/1.4952201","Conference Paper","2-s2.0-84984549606","Perm National Research Polytechnic University| Nizhny Novgorod State University","60023325| 60008673","Perm National Research Polytechnic University| Lobachevsky State University of Nizhni Novgorod","Russian Federation","3100","General Physics and Astronomy","Global Optimization,Combinatorial Optimization,Integer Programming","1401","Global Optimization,Lipschitz,Space-filling Curves","26329","11.847","78.906"
"Dynamic properties of magneto-sensitive elastomer cantilevers as adaptive sensor elements","Becker, T.I.| Raikher, Y.L.| Stolbov, O.V.| Böhm, V.| Zimmermann, K.","5","7202271798| 7006593214| 8211902500| 12797914000| 7103388363","2017","Smart Materials and Structures","1.45","31","18","1.68","11","17","Becker, T.I., Raikher, Y.L., Stolbov, O.V. and 2 more (...) (2017).Dynamic properties of magneto-sensitive elastomer cantilevers as adaptive sensor elements. Smart Materials and Structures,26(9) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85028592041&origin=resultslist","10.1088/1361-665X/aa75ec","Article","2-s2.0-85028592041","Ilmenau University of Technology| Ural Federal University| Russian Academy of Sciences| Perm National Research Polytechnic University| RAS - Institute of Continuous Media Mechanics, Ural Branch","60030040| 60026928| 60021331| 60103702| 60023325","Technische Universität Ilmenau| Institute of Continuous Media Mechanics of the Ural Branch of Russian Academy of Science| Russian Academy of Sciences| Ural Federal University| Perm National Research Polytechnic University","Germany| Russian Federation","1711| 2205| 2208| 2211| 2500| 3104| 3107","Signal Processing| Civil and Structural Engineering| Electrical and Electronic Engineering| Mechanics of Materials| General Materials Science| Condensed Matter Physics| Atomic and Molecular Physics, and Optics","Vibration Control,Magnetorheological Fluids,Automobile Suspensions","652","Elastomers,Isolators,Sandwich Beam","9345","68.34","97.995"
"Chiral separation of quinolones by liquid chromatography and capillary electrophoresis","Ali, I.| Suhail, M.| Asnin, L.","3","7102015737| 57103074000| 6602774626","2017","Journal of Separation Science","0.6","46","18","0.55","11","45","Ali, I., Suhail, M., Asnin, L. (2017).Chiral separation of quinolones by liquid chromatography and capillary electrophoresis. Journal of Separation Science,40(14) 2863-2882","https://www.scopus.com/record/display.url?eid=2-s2.0-85020243786&origin=resultslist","10.1002/jssc.201700200","Review","2-s2.0-85020243786","Jamia Millia Islamia| Perm National Research Polytechnic University","60020458| 60023325","Jamia Millia Islamia| Perm National Research Polytechnic University","India| Russian Federation","1506| 1602","Filtration and Separation| Analytical Chemistry","Antibiotics,Pharmacokinetics,Liquid Chromatography","826","Quinolone Derivative,Veterinary Drugs,Enrofloxacin","3388","54.284","97.211"
"Correlation analysis of the data on the UK and US market for contextual advertising","Plotnikov, A.V.| Kuznetsov, P.A.| Urasova, A.A.| Akhmetshin, E.M.","4","55769437700| 57197816163| 57194617112| 56027651200","2018","International Journal of Civil Engineering and Technology","2.09","46","18","2.45","7","10","Plotnikov, A.V., Kuznetsov, P.A., Urasova, A.A. and 1 more (...) (2018).Correlation analysis of the data on the UK and US market for contextual advertising. International Journal of Civil Engineering and Technology,9(11) 1630-1639","https://www.scopus.com/record/display.url?eid=2-s2.0-85058038474&origin=resultslist","-","Article","2-s2.0-85058038474","Kazan Volga Region Federal University| Perm State National Research University| Perm National Research Polytechnic University","60023325| 60023914| 60070941","Perm National Research Polytechnic University| Perm State University| Kazan Federal University","Russian Federation","1705| 2205| 2207| 2215","Computer Networks and Communications| Civil and Structural Engineering| Control and Systems Engineering| Building and Construction","Classification (Of Information),Learning Systems,Algorithms","195","Bandit Problems,Online Optimization,Opportunistic Spectrum Access","7174","92.972","95.819"
"Coarse-grained molecular dynamics simulation of small ferrogel objects","Ryzhkov, A.V.| Melenev, P.V.| Holm, C.| Raikher, Y.L.","4","56533491600| 12762047100| 7101642435| 7006593214","2015","Journal of Magnetism and Magnetic Materials","1.34","33","17","1.4","19","21","Ryzhkov, A.V., Melenev, P.V., Holm, C. and 1 more (...) (2015).Coarse-grained molecular dynamics simulation of small ferrogel objects. Journal of Magnetism and Magnetic Materials,383277-280","https://www.scopus.com/record/display.url?eid=2-s2.0-84931270164&origin=resultslist","10.1016/j.jmmm.2014.11.008","Article","2-s2.0-84931270164","University of Stuttgart| Perm National Research Polytechnic University| RAS - Institute of Continuous Media Mechanics, Ural Branch| RAS - Ural Branch","60023325| 60072266| 60026928| 60015815","Perm National Research Polytechnic University| Ural Branch, Russian Academy of Sciences| Institute of Continuous Media Mechanics of the Ural Branch of Russian Academy of Science| Universität Stuttgart","Germany| Russian Federation","2504| 3104","Electronic, Optical and Magnetic Materials| Condensed Matter Physics","Vibration Control,Magnetorheological Fluids,Automobile Suspensions","652","Elastomers,Isolators,Sandwich Beam","9345","68.34","97.995"
"Structural-mechanical and antibacterial properties of a soft elastic polyurethane surface after plasma immersion N2+ implantation","Morozov, I.A.| Mamaev, A.S.| Osorgina, I.V.| Lemkina, L.M.| Korobov, V.P.| Belyaev, A.Y.| Porozova, S.E.| Sherban, M.G.","8","36855230100| 57212781096| 6504384845| 6602343571| 7102381185| 57210254982| 55062213300| 57090720700","2016","Materials Science and Engineering C","2.49","65","17","1.3","15","22","Morozov, I.A., Mamaev, A.S., Osorgina, I.V. and 5 more (...) (2016).Structural-mechanical and antibacterial properties of a soft elastic polyurethane surface after plasma immersion N2+ implantation. Materials Science and Engineering C,62242-248","https://www.scopus.com/record/display.url?eid=2-s2.0-84956650751&origin=resultslist","10.1016/j.msec.2016.01.062","Article","2-s2.0-84956650751","Perm State National Research University| RAS - Institute of Ecology and Genetics of Microorganisms, Ural Branch| RAS - Institute of Electrophysics, Ural Branch| Russian Academy of Sciences| Perm National Research Polytechnic University| RAS - Institute of Continuous Media Mechanics, Ural Branch","60026928| 60023914| 60020490| 60109740| 60021331| 60023325","Institute of Continuous Media Mechanics of the Ural Branch of Russian Academy of Science| Perm State University| Institute of Electrophysics of the Ural Division of the Russian Academy of Sciences| Institute of Ecology and Genetics of Microorganisms, Ural Branch of the Russian Academy of Sciences| Russian Academy of Sciences| Perm National Research Polytechnic University","Russian Federation","2210| 2211| 2500| 3104","Mechanical Engineering| Mechanics of Materials| General Materials Science| Condensed Matter Physics","Polyaniline,Polypyrroles,Conducting Polymers","658","Polypyrroles,Conducting Polymers,Poly(3,4-Ethylene Dioxythiophene)","14422","74.9","99.422"
"Mathematical models for estimating the degree of influence of major factors on performance and accuracy of coordinate measuring machines","Rezchikov, A.F.| Kochetkov, A.V.| Zakharov, O.V.","3","6602670595| 55951381700| 24469524600","2017","MATEC Web of Conferences","3.54","62","16","7.29","13","2","Rezchikov, A.F., Kochetkov, A.V., Zakharov, O.V. (2017).Mathematical models for estimating the degree of influence of major factors on performance and accuracy of coordinate measuring machines. MATEC Web of Conferences,129","https://www.scopus.com/record/display.url?eid=2-s2.0-85034274233&origin=resultslist","10.1051/matecconf/201712901054","Conference Paper","2-s2.0-85034274233","Saratov State Technical University| RAS - Institute of Precision Mechanics and Control| Russian Academy of Sciences| Samara National Research University| Perm National Research Polytechnic University","60021331| 60109768| 60023325| 60013984| 60011415","Russian Academy of Sciences| Institute of Precision Mechanics and Control, Russian Academy of Sciences| Perm National Research Polytechnic University| Yuri Gagarin State Technical University of Saratov| Samara National Research University","Russian Federation","1600| 2200| 2500","General Chemistry| General Engineering| General Materials Science","Measurements,Machine Tools,Errors","686","Coordinate Measuring Machines,Free-Form Surface,Roundness","8229","46.72","89.22"
