
"Title","Authors","Number of Authors","Scopus Author Ids","Year","Scopus Source title","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Reference","Abstract","DOI","Publication type","EID","Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Country/Region","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Topic Cluster name","Topic Cluster number","Topic name","Topic number","Topic Cluster Prominence Percentile","Topic Prominence Percentile"
"Development of ontology-based multiplatform adaptive scientific visualization system","Ryabinin, K.| Chuprina, S.","2","56085695800| 56086359200","2015","Journal of Computational Science","1.67","37","22","3.22","14","7","Ryabinin, K., Chuprina, S. (2015).Development of ontology-based multiplatform adaptive scientific visualization system. Journal of Computational Science,10370-381","https://www.scopus.com/record/display.url?eid=2-s2.0-84941278372&origin=resultslist","10.1016/j.jocs.2015.03.003","Article","2-s2.0-84941278372","Perm State National Research University","60023914","Perm State University","Russian Federation","1700| 2611| 2614","General Computer Science| Modeling and Simulation| Theoretical Computer Science","Students,Education,Teaching","542","Data Visualization,Ontology,Client/Server","78136","73.494","44.382"
"On the partially degenerate Bernoulli polynomials of the first kind","Qi, F.| Dolgy, D.V.| Kim, T.| Ryoo, C.S.","4","7101777278| 46461119600| 7407121103| 6603926225","2015","Global Journal of Pure and Applied Mathematics","1.73","18","22","5.02","14","3","Qi, F., Dolgy, D.V., Kim, T. and 1 more (...) (2015).On the partially degenerate Bernoulli polynomials of the first kind. Global Journal of Pure and Applied Mathematics,11(4) 2407-2412","https://www.scopus.com/record/display.url?eid=2-s2.0-84944747587&origin=resultslist","-","Article","2-s2.0-84944747587","Far Eastern Federal University| Hannam University| Perm State National Research University| Tianjin Polytechnic University| Kwangwoon University","60025569| 60103811| 60023914| 60013866| 60007163","Tianjin Polytechnic University| Far Eastern Federal University| Perm State University| Kwangwoon University| Hannam University","South Korea| China| Russian Federation","2600| 2604","General Mathematics| Applied Mathematics","Identity,Polynomial,Generating Function","699","Euler Polynomials,Bernoulli Numbers,P-Adic Q-Integral","4660","29.652","92.301"
"A dissipative force between colliding viscoelastic bodies: Rigorous approach","Brilliantov, N.V.| Pimenova, A.V.| Goldobin, D.S.","3","7003803537| 56028201500| 8368187600","2015","EPL","1.14","24","22","1.09","14","27","Brilliantov, N.V., Pimenova, A.V., Goldobin, D.S. (2015).A dissipative force between colliding viscoelastic bodies: Rigorous approach. EPL,109(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-84921648346&origin=resultslist","10.1209/0295-5075/109/14005","Article","2-s2.0-84921648346","University of Leicester| Perm State National Research University| RAS - Institute of Continuous Media Mechanics, Ural Branch","60033125| 60026928| 60023914","University of Leicester| Institute of Continuous Media Mechanics of the Ural Branch of Russian Academy of Science| Perm State University","United Kingdom| Russian Federation","3100","General Physics and Astronomy","Fluidized Beds,Fluidization,Granular Materials","461","Granular Gases,Hard Spheres,Inelastic Collisions","2855","70.281","86.074"
"N-acetylcysteine inhibits growth, adhesion and biofilm formation of Gram-positive skin pathogens","Eroshenko, D.| Polyudova, T.| Korobov, V.","3","8891996700| 8415988600| 7102381185","2017","Microbial Pathogenesis","2.87","55","22","2.08","9","12","Eroshenko, D., Polyudova, T., Korobov, V. (2017).N-acetylcysteine inhibits growth, adhesion and biofilm formation of Gram-positive skin pathogens. Microbial Pathogenesis,105145-152","https://www.scopus.com/record/display.url?eid=2-s2.0-85013863448&origin=resultslist","10.1016/j.micpath.2017.02.030","Article","2-s2.0-85013863448","Perm State National Research University| RAS - Institute of Ecology and Genetics of Microorganisms, Ural Branch| Perm National Research Polytechnic University| RAS - Ural Branch","60109740| 60072266| 60023914| 60023325","Institute of Ecology and Genetics of Microorganisms, Ural Branch of the Russian Academy of Sciences| Ural Branch, Russian Academy of Sciences| Perm State University| Perm National Research Polytechnic University","Russian Federation","2404| 2725","Microbiology| Infectious Diseases","Leprosy,Mycobacterium Leprae,Lepromatous Leprosy","1242","Glutathione,Pulmonary Tuberculosis,Interleukin-12","82541","15.93","47.385"
"Catalytic Asymmetric Crotylation of Aldehydes: Application in Total Synthesis of (-)-Elisabethadione","O'Hora, P.S.| Incerti-Pradillos, C.A.| Kabeshov, M.A.| Shipilovskikh, S.A.| Rubtsov, A.E.| Elsegood, M.R.J.| Malkov, A.V.","7","56537099100| 55681948900| 7801543080| 34168423100| 7007059861| 7005004187| 7007051806","2015","Chemistry - A European Journal","8.84","353","21","1.01","15","29","O'Hora, P.S., Incerti-Pradillos, C.A., Kabeshov, M.A. and 4 more (...) (2015).Catalytic Asymmetric Crotylation of Aldehydes: Application in Total Synthesis of (-)-Elisabethadione. Chemistry - A European Journal,21(12) 4551-4555","https://www.scopus.com/record/display.url?eid=2-s2.0-84924064614&origin=resultslist","10.1002/chem.201500176","Article","2-s2.0-84924064614","Perm State National Research University| Loughborough University","60000891| 60023914","Loughborough University| Perm State University","United Kingdom| Russian Federation","1503| 1605","Catalysis| Organic Chemistry","Porifera,Anthozoa,Biological Agents","795","Bielschowskysin,Pseudopterosins,Ileabethoxazole","38911","44.578","76.069"
"Dynamics of Noisy Oscillator Populations beyond the Ott-Antonsen Ansatz","Tyulkina, I.V.| Goldobin, D.S.| Klimenko, L.S.| Pikovsky, A.","4","57202792441| 8368187600| 55038613500| 7004628118","2018","Physical Review Letters","1.89","31","21","2.39","6","10","Tyulkina, I.V., Goldobin, D.S., Klimenko, L.S. and 1 more (...) (2018).Dynamics of Noisy Oscillator Populations beyond the Ott-Antonsen Ansatz. Physical Review Letters,120(26) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85049368769&origin=resultslist","10.1103/PhysRevLett.120.264101","Article","2-s2.0-85049368769","University of Potsdam| Perm State National Research University| Russian Academy of Sciences| RAS - Institute of Continuous Media Mechanics, Ural Branch| Nizhny Novgorod State University","60023914| 60026928| 60021331| 60021763| 60008673","Perm State University| Institute of Continuous Media Mechanics of the Ural Branch of Russian Academy of Science| Russian Academy of Sciences| Universität Potsdam| Lobachevsky State University of Nizhni Novgorod","Germany| Russian Federation","3100","General Physics and Astronomy","Synchronization,Chaotic Systems,Chaos Theory","210","Kuramoto Model,Coupled Oscillators,Synchronization","8969","85.81","97.921"
"Removal of polycyclic aromatic hydrocarbons in soil spiked with model mixtures of petroleum hydrocarbons and heterocycles using biosurfactants from Rhodococcus ruber IEGM 231","Ivshina, I.| Kostina, L.| Krivoruchko, A.| Kuyukina, M.| Peshkur, T.| Anderson, P.| Cunningham, C.","7","6701606381| 55901803500| 55645780300| 6603140098| 6506821401| 57214194759| 7201736245","2016","Journal of Hazardous Materials","2.38","89","20","1.21","13","24","Ivshina, I., Kostina, L., Krivoruchko, A. and 4 more (...) (2016).Removal of polycyclic aromatic hydrocarbons in soil spiked with model mixtures of petroleum hydrocarbons and heterocycles using biosurfactants from Rhodococcus ruber IEGM 231. Journal of Hazardous Materials,3128-17","https://www.scopus.com/record/display.url?eid=2-s2.0-84961590030&origin=resultslist","10.1016/j.jhazmat.2016.03.007","Article","2-s2.0-84961590030","University of Strathclyde| Perm State National Research University| RAS - Institute of Ecology and Genetics of Microorganisms, Ural Branch| Russian Academy of Sciences","60021331| 60109740| 60023914| 60024724","Russian Academy of Sciences| Institute of Ecology and Genetics of Microorganisms, Ural Branch of the Russian Academy of Sciences| Perm State University| University of Strathclyde","United Kingdom| Russian Federation","2304| 2305| 2307| 2310| 2311","Environmental Chemistry| Environmental Engineering| Health, Toxicology and Mutagenesis| Pollution| Waste Management and Disposal","Bioremediation,Biodegradation,Soils","280","Biosurfactants,Rhamnolipids,Lipopeptides","1048","82.129","98.878"
"Digital economy: Data analysis on the context advertising market in the UK and the US","Plotnikov, A.V.| Kuznetsov, P.A.| Urasova, A.A.| Akhmetshin, E.M.","4","55769437700| 57197816163| 57194617112| 56027651200","2018","International Journal of Civil Engineering and Technology","2.55","56","20","2.72","6","9","Plotnikov, A.V., Kuznetsov, P.A., Urasova, A.A. and 1 more (...) (2018).Digital economy: Data analysis on the context advertising market in the UK and the US. International Journal of Civil Engineering and Technology,9(11) 2372-2382","https://www.scopus.com/record/display.url?eid=2-s2.0-85058025309&origin=resultslist","-","Article","2-s2.0-85058025309","Kazan Volga Region Federal University| Perm State National Research University| Perm National Research Polytechnic University","60023325| 60023914| 60070941","Perm National Research Polytechnic University| Perm State University| Kazan Federal University","Russian Federation","1705| 2205| 2207| 2215","Computer Networks and Communications| Civil and Structural Engineering| Control and Systems Engineering| Building and Construction","Agents,Game Theory,Models","173","Secretary Problem,Prophet Inequality,Bipartite Matching","13198","83.133","84.176"
"Oxidative Furan-to-Indole Rearrangement. Synthesis of 2-(2-Acylvinyl)indoles and Flinderole C Analogues","Makarov, A.S.| Merkushev, A.A.| Uchuskin, M.G.| Trushkov, I.V.","4","36053054600| 56239482600| 24081771500| 6507174399","2016","Organic Letters","6.17","167","20","1.53","13","19","Makarov, A.S., Merkushev, A.A., Uchuskin, M.G. and 1 more (...) (2016).Oxidative Furan-to-Indole Rearrangement. Synthesis of 2-(2-Acylvinyl)indoles and Flinderole C Analogues. Organic Letters,18(9) 2192-2195","https://www.scopus.com/record/display.url?eid=2-s2.0-84969592907&origin=resultslist","10.1021/acs.orglett.6b00805","Article","2-s2.0-84969592907","Perm State National Research University| RAS - Institute of Technical Chemistry, Ural Branch| Lomonosov Moscow State University","60023914| 60109739| 60007457| 106674135","Perm State University| Institute of Technical Chemistry of Ural Branch of the RAS| Lomonosov Moscow State University| Federal Research Center of Pediatric Hematology","Russian Federation","1303| 1605| 1606","Biochemistry| Organic Chemistry| Physical and Theoretical Chemistry","Rutaceae,Carbazoles,Alkaloids","1165","Flinderole A,Indole Derivative,Spermacoce","56602","26.707","34.674"
"A satellite-derived climatology of unreported tornadoes in forested regions of northeast Europe","Shikhov, A.| Chernokulsky, A.","2","56951126200| 8533581200","2018","Remote Sensing of Environment","1.75","44","20","2.76","6","8","Shikhov, A., Chernokulsky, A. (2018).A satellite-derived climatology of unreported tornadoes in forested regions of northeast Europe. Remote Sensing of Environment,204553-567","https://www.scopus.com/record/display.url?eid=2-s2.0-85031422447&origin=resultslist","10.1016/j.rse.2017.10.002","Article","2-s2.0-85031422447","Perm State National Research University| Russian Academy of Sciences","60023914| 60109732| 60021331","Perm State University| A.M. Obukhov Institute of Atmospheric Physics, Russian Academy of Sciences| Russian Academy of Sciences","Russian Federation","1111| 1903| 1907","Soil Science| Computers in Earth Sciences| Geology","Climate Models,Model,Rainfall","5","Tornadoes,Convective System,Thunderstorms","941","98.996","95.229"
"The theory and practice of customer loyalty management and customer focus in the enterprise activity","Kiseleva, E.M.| Nekrasova, M.L.| Mayorova, M.A.| Rudenko, M.N.| Kankhva, V.S.","5","57189521204| 57093812100| 56872791800| 57190760473| 57190763865","2016","International Review of Management and Marketing","2.77","80","19","5.47","14","3","Kiseleva, E.M., Nekrasova, M.L., Mayorova, M.A. and 2 more (...) (2016).The theory and practice of customer loyalty management and customer focus in the enterprise activity. International Review of Management and Marketing,6(6) 95-103","https://www.scopus.com/record/display.url?eid=2-s2.0-84983088243&origin=resultslist","-","Article","2-s2.0-84983088243","Kuban State University| Moscow Polytechnic University| Perm State National Research University| Moscow State University of Civil Engineering| Yaroslavl State Technical University","60105103| 60020189| 60017083| 60023914| 60024799","Moscow Polytechnic University| Kuban State University| Yaroslavl State Technical University| Perm State University| Moscow State University of Civil Engineering","Russian Federation","1400","General Business,Management and Accounting","Stormwater,Storm Sewers,Rainwater","876","Stormwater,Green Infrastructure,Urban Water","39033","72.49","88.641"
